accx,accy,accz,gyrx,gyry,gyrz
2.4630015,9.037394,-0.5419419,-0.9085834999999999,-0.21933553,0.50106657
2.84005,9.201808,-0.6657892,-1.0613521000000001,-1.0966078000000001,0.03635521
2.9647207000000004,9.154191,-0.81319535,-1.1081968999999998,-2.1058967,-0.51192254
2.965439,9.026418,-0.86145294,-1.0389946,-3.0342724,-1.1784113999999999
3.0119152000000002,8.880152,-0.80482525,-0.9149714,-3.6272829,-1.9050269
3.2479644,9.022779,-0.7693049,-0.74834484,-3.7837864999999997,-2.5502052
3.4179146,9.483797000000001,-0.90348554,-0.49815187,-3.4787552,-3.0521792999999997
3.4038367,10.038706,-1.0153713,-0.17503907,-2.7824737999999996,-3.4892273
3.3039122000000005,10.359835,-1.1648173000000002,0.102293745,-1.7550856,-3.9044410000000003
3.3271455999999997,10.571196,-1.0976266000000001,0.16404349999999998,-0.5419246999999999,-4.1902913999999996
3.4983885000000003,11.207851,-0.8529008,-0.07283259,0.39920917,-3.9608676
3.8840847000000003,11.161700999999999,-0.6896642,-0.18462093,0.8186816,-3.4641992999999993
4.8399363,10.569405,-0.03182373,-0.17023942,0.62065655,-3.1363043999999998
5.6963615,9.511302,0.76377904,-0.16652186,0.12985249,-2.8669302000000005
6.0716095,7.9379663,1.9048269,-0.27883379999999997,-0.3343178,-2.4703565
6.087727,6.791661,3.230544,-0.31290263,-0.6313554,-1.9444188999999998
6.18429,6.700336500000001,4.2006559999999995,-0.26340508,-0.6169739000000001,-1.5158882
6.437597,7.963297,4.508119000000001,-0.11222467,-0.46047023,-1.2092863
6.3124375,10.383624000000001,3.8141549,0.023509584,-0.28321457,-1.0330778
4.339567,11.9533,2.529407,0.092170835,-0.16875589,-0.9154252
2.9020214,11.340137,1.8090491999999998,0.05810201,-0.33271209999999996,-0.84728754
2.456451,10.094691000000001,0.8427973,-0.06005678,-0.8134107,-0.8196065999999999
1.6144484,8.731635,0.4016896,-0.18781488,-1.3441303999999998,-0.7999193
0.89532614,7.881702400000001,0.47621632,-0.23998277,-1.736463,-0.83184135
0.9672288,7.530262,1.0776876,-0.26977554,-1.9254297999999999,-0.9202074
1.6430161,7.4768524,1.1093677,-0.33632496,-1.9179772000000002,-1.1187735
2.1992849999999997,7.7566295,0.9600462,-0.41297979999999995,-1.7689261000000003,-1.245467
2.6682134,8.623636,0.6525253000000001,-0.4651477,-1.5059573999999998,-1.2188507
3.2131336,9.458782000000001,0.32165623,-0.3996804,-1.2248895,-0.9931447
3.550419,9.940476,0.19235975,-0.13032374,-0.9092293,-0.5342802
3.8152466,9.773811,0.07581001,0.049584802000000004,-0.5429894000000001,0.0927817
3.8967165999999995,9.138333,0.52905154,0.25986207,-0.09157742599999999,0.83164936
4.442154,8.948061000000001,1.0232052,0.5270894,0.5424134,1.4768453000000001
5.1592839999999995,9.812158,0.8716714,0.76611227,1.2115552,1.9788369
5.8983360000000005,11.089042,0.55602944,0.90343475,1.6368744,2.366876
6.0600595,12.358247,0.24632505,0.9923419,1.9131426999999999,2.656461
5.6971374,13.163666000000001,0.093440905,1.0658028,2.4263217,2.7980769
4.898057499999999,13.419835999999998,0.38798517,1.0269517,2.9389423999999997,2.8385336
3.9254851000000004,13.767407,0.7140276,0.7309613,2.906462,2.9439166
2.8899066,12.492695,0.8615295000000001,0.51431364,3.2253335,2.7001116
2.0504708,9.513619,1.7911407,0.34609878,3.4685974,2.421173
1.7362080000000002,6.877976400000001,2.4753554,0.21088813,3.2072344,2.4829402000000003
1.79342,6.0460587,2.4023325,0.14861478,2.6562688,2.4488540000000003
2.1163689999999997,7.2545557,1.6227228999999999,0.05438446,2.1612062,2.2843742000000002
2.7911314999999997,8.988552,0.8632820999999999,-0.065903634,1.6698787,2.208243
3.8284912,10.537063999999999,0.48608999999999997,-0.18514453,1.2940569,2.2114543999999996
4.535441400000001,11.750541,0.13783897,-0.2575408,1.1151956,2.15981
3.451146,11.85331,-0.4549462,-0.27190486,1.1103958999999999,2.0160823
5.373268599999999,11.957399,0.3845854,-0.30810297,0.9778556,1.8712896
3.0589087000000004,10.766323,-0.15682021,-0.31609657,0.86713195,1.7499194
2.4531276,10.203255,0.49123272,-0.30386183,0.7292509,1.5619999
2.8245834999999997,9.317026,0.41067263,-0.23411846,0.5514717,1.3389817
2.6650147,8.864523,-0.016701952,-0.16543975,0.3108606,1.0323622
2.2082202,8.716397,-0.21456836,-0.11168362,0.0031764992,0.58892643
2.3296251,8.725342999999999,-0.47599605,-0.07707374,-0.28693214,0.10611602
2.7599687999999998,8.882622,-0.47793055,-0.026511552,-0.5584180999999999,-0.5017996
3.0087743,9.029377,-0.6080123000000001,0.0027576203000000002,-0.8416152,-1.2151157
2.6491938,8.901603999999999,-0.6334866,-0.02438225,-1.2397946000000002,-1.9790113999999999
2.6228766,8.414105000000001,-0.391768,-0.060039327,-1.612946,-2.4788387000000003
2.809002,7.936797599999999,-0.10641748,-0.082938045,-1.8876433000000001,-2.7498012000000003
2.9824092,8.044413,0.10752839,-0.07920304,-2.00102,-2.7796112999999996
3.5812565999999997,8.728732,0.017975666,0.022444934,-1.9429878,-2.6603703
