accx,accy,accz,gyrx,gyry,gyrz
3.480087,12.229564,-0.20757729,0.43835690000000005,1.4761819999999999,1.8397863999999997
3.118017,13.451985,-0.71058947,0.36650170000000004,2.001055,2.0740097
2.7894366,14.305384,-0.99042374,0.28663543,2.3390727000000004,2.235819
2.5339465,14.446479,-1.1640418,0.20093976,2.4380853,2.3406959
2.1814244,13.813826,-0.6050531,0.10458013,2.5397682,2.3103447
1.419072,11.825728,-0.322815,0.03111922,2.5903304,2.358254
0.71709216,9.816792,-0.24830745,0.008237954,2.079298,2.5328567000000004
0.60992765,8.372667,0.34285924,0.016231561000000002,2.1474357000000004,2.6883132
0.9257133,7.7494369999999995,0.046504974000000004,-0.015166911000000002,2.1783106,2.8442757000000003
1.1868249,7.866619,-0.18668069,-0.046565384,2.2182436,2.8432112000000003
1.4179707000000001,8.256519,-0.6170336999999999,-0.09234537,2.0015786,2.7670798
1.5852298,8.688558,-1.1110437,-0.22116812,1.6566316000000003,2.6361453999999997
1.705591,8.518158,-1.2260516000000001,-0.34201473,1.2690988,2.4892060000000003
1.564266,7.982134299999999,-0.9416683000000001,-0.40962878,0.91776395,2.306627
1.4616122999999999,7.7315,-0.37683776,-0.3526438,0.7586073,2.1426708999999997
1.8172661,7.840091,-0.37713465,-0.27333602,0.7782946999999999,1.8775728999999999
2.142935,8.469106,-0.5037305000000001,-0.23715533,0.78255326,1.5134623
2.236242,9.538174,-0.5530606,-0.22383848,0.6686356,1.1083538999999998
2.38179,10.77385,-0.5426602,-0.21690951,0.5137377000000001,0.7304203
2.5019312,11.441784,-0.5212846999999999,-0.15781267,0.32103586,0.28166124
2.3179512000000004,11.137683,-0.4775858,-0.0652055,0.034103733,-0.20645499
1.8517905,10.85533,0.018473659,0.041259582999999996,-0.27089256,-0.64669687
1.342017,10.897601,0.3067547,0.10353293,-0.48169342,-0.96715677
1.2456169,11.556610000000001,0.13631627,0.11524409,-0.6089279000000001,-1.2003152
1.5651567,12.431068,-0.16791973,0.15090117,-0.8990365,-1.5378096
1.3148093,12.347272,0.03997359,0.23342033,-1.3099916999999999,-1.8327179
1.1971009,11.934636,0.55967814,0.32178634,-1.626193,-1.9934802
1.7850306,12.557616000000001,0.7143053,0.35904914,-1.8556341,-2.1276262000000004
2.391865,12.972331,0.6467122,0.31222194,-2.0935748,-2.301688
2.7085507,12.316099000000001,0.700553,0.22596778,-2.2990525,-2.4566033
3.0835307000000003,10.932749000000001,0.97401875,0.16475908,-2.3794422,-2.5870142000000005
3.4738622,9.175892999999999,1.1821898000000002,0.09820968,-2.465679,-2.7312832
3.6808841,7.997936200000001,1.4145136,-0.044942225999999995,-2.5029418,-2.8180435
4.115585,8.047334,0.8455171,-0.26003662,-2.3916771,-2.8239078999999996
4.3784394,8.783599,0.79916537,-0.48040187,-2.3011817999999997,-2.8132439
5.1013064,8.648114999999999,1.0974734,-0.5810201,-2.1388311,-2.9340903999999997
5.614872,8.844008,1.4112383,-0.6411641,-1.7012596999999998,-3.0677128
5.9259367,9.695482,1.2324872,-0.7284655,-0.98900825,-3.12201
5.515829,9.905225,1.2820472,-0.80724967,-0.44603634,-3.082077
4.8720374,9.24135,2.0072412,-0.7939328,-0.026022859,-2.9394138
3.9679775,8.805041000000001,2.4643040000000003,-0.7071725,0.39182642,-2.664734
3.5042875,8.562691000000001,2.4685752,-0.6565754,0.65320694,-2.2622782999999997
2.9108896,8.863029,2.2546678,-0.6172008000000001,0.6606595000000001,-1.8774157999999999
2.0396395,9.712309,1.902653,-0.57035613,0.37798595,-1.4031225
1.1774108,10.228000999999999,1.8108497,-0.50967103,-0.15219271,-0.86866784
0.32836,10.317793,2.1070414,-0.35903168,-0.6898414,-0.23253022
-0.016385917,10.138908,2.5433414,-0.09178686,-0.86283845,0.43818235
0.23670994,9.7255535,2.6984856,0.20949186,-0.76808447,0.99977696
0.50139374,9.73898,2.3805547000000002,0.48096037,-0.49766317,1.5400785
0.881976,10.171259,1.5218216,0.62575287,-0.14580481,2.0660336
