Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
1.610369682,-8.229814529,-4.292125702
1.562513232,-8.256434441,-4.258625984
1.560120344,-8.191529274,-4.069592953
1.526620865,-8.155636787,-3.875475407
1.497906923,-8.155636787,-3.77497673
1.476371527,-8.158029556,-3.825226068
1.493121386,-8.158029556,-3.834797382
1.488335729,-8.160422325,-3.875475407
1.507478237,-8.169993401,-3.810869217
1.476371527,-8.15085125,-3.827618837
1.517049551,-8.148458481,-3.825226068
1.521835208,-8.136494637,-3.834797382
1.526620865,-8.155636787,-3.937688828
1.536192179,-8.169993401,-3.983451605
1.560120344,-8.169993401,-3.9185462
1.564906001,-8.148458481,-3.827618837
1.572084427,-8.160422325,-3.841975927
1.572084427,-8.184350967,-3.815654755
1.524227977,-8.258827209,-3.904189348
1.572084427,-8.301898003,-3.877868176
1.591227055,-8.328219414,-3.897010803
1.581655741,-8.376075745,-3.966402531
1.591227055,-8.426324844,-3.988237143
1.615155339,-8.440681458,-4.036093712
1.615155339,-8.455039024,-4.083950043
1.643869162,-8.443074226,-4.04087925
1.713261008,-8.395217896,-3.964009762
1.698904037,-8.440681458,-4.081557274
1.698904037,-8.471788406,-4.160520554
1.710868239,-8.488538742,-4.160520554
1.756331801,-8.490931511,-4.04087925
1.763510346,-8.488538742,-3.935296059
1.751546144,-8.500502586,-3.911367655
1.713261008,-8.524430275,-3.961616993
1.725225091,-8.534002304,-4.009772778
1.730010748,-8.517251968,-4.04087925
1.739582062,-8.512466431,-4.091128349
1.753939033,-8.538787842,-4.249054909
1.773081541,-8.500502586,-4.368695736
1.792224169,-8.502895355,-4.457230568
1.808973908,-8.510073662,-4.56042099
1.830509305,-8.517251968,-4.62502718
1.835294962,-8.519644737,-4.615455627
1.808973908,-8.534002304,-4.558028221
1.753939033,-8.57228756,-4.524229527
1.689332843,-8.581858635,-4.418945312
1.670190215,-8.617751122,-4.332803726
1.643869162,-8.615358353,-4.275375843
1.576870084,-8.62014389,-4.261018753
1.521835208,-8.61296463,-4.270590305
1.47158587,-8.622536659,-4.268197536
1.452443361,-8.629714966,-4.299304008
1.433300734,-8.64167881,-4.320839405
1.325324655,-8.624929428,-4.37348175
1.287039518,-8.586644173,-4.421338081
1.220040441,-8.579465866,-4.433301926
1.174576759,-8.538787842,-4.440480709
1.167398334,-8.526823044,-4.380660057
1.138684511,-8.519644737,-4.337589264
1.112363458,-8.474181175,-4.289732933
1.102792144,-8.43589592,-4.265804768
1.100399256,-8.416753769,-4.258625984
1.100399256,-8.3641119,-4.237090588
1.145862937,-8.275577545,-4.201198578
1.169791222,-8.236992836,-4.148556232
1.196112275,-8.17956543,-4.11744976
1.267896891,-8.141280174,-4.107878208
1.291825175,-8.12213707,-4.014558315
1.299003601,-8.12213707,-3.959224224
1.279860973,-8.117351532,-3.887439489
1.287039518,-8.174779892,-3.820440531
1.272682548,-8.227421761,-3.803690672
1.272682548,-8.282755852,-3.801297903
1.234397411,-8.349754333,-3.851547241
1.18893373,-8.431110382,-3.856332779
1.169791222,-8.486145973,-3.916153431
1.196112275,-8.529216766,-4.038486481
1.203290701,-8.61296463,-4.179663181
1.196112275,-8.67039299,-4.292125702
1.186540961,-8.675178528,-4.404588223
1.186540961,-8.711071014,-4.459623337
1.179362416,-8.718249321,-4.56042099
1.200897813,-8.687142372,-4.603491783
1.17218399,-8.677571297,-4.699204445
1.165005565,-8.684749603,-4.653740883
1.10997057,-8.672785759,-4.615455627
1.145862937,-8.660821915,-4.574777603
1.10997057,-8.617751122,-4.521836758
1.102792144,-8.617751122,-4.478765965
1.06211412,-8.529216766,-4.445266247
1.052542806,-8.478966713,-4.454837322
0.98075819,-8.4646101,-4.426123619
0.940080226,-8.438288689,-4.514657974
0.94965148,-8.35693264,-4.23230505
0.944865823,-8.316255569,-4.239483356
0.928116083,-8.270791054,-4.280161381
0.894616544,-8.282755852,-4.395017147
0.954437137,-8.213064194,-4.440480709
0.956829965,-8.165207863,-4.48833704
0.968794048,-8.10060215,-4.483551502
1.009472013,-8.02163887,-4.536492825
1.069292665,-7.978568077,-4.572384834
1.12432754,-7.911569118,-4.636991024
1.126720309,-7.882854939,-4.699204445
1.215254784,-7.796713352,-4.586741924
1.176969647,-7.741678715,-4.62502718
1.224826097,-7.70100069,-4.72313261
1.229611754,-7.689036369,-4.763810635
1.208076358,-7.674380302,-4.660919189
1.277468204,-7.650452137,-4.543671131
1.368395448,-7.633702278,-4.483551502
1.382752419,-7.616952896,-4.450051785
1.356431365,-7.645666599,-4.500301361
1.334895968,-7.681559086,-4.536492825
1.39710927,-7.664809227,-4.577170849
1.394716501,-7.708178997,-4.584349155
1.413859129,-7.710571766,-4.541278362
1.442872047,-7.715357304,-4.617848396
1.43808639,-7.708178997,-4.644169807
1.413859129,-7.696215153,-4.663312435
1.43808639,-7.693821907,-4.680061817
1.464407444,-7.70100069,-4.656133652
1.47158587,-7.717750549,-4.684847832
1.442872047,-7.70100069,-4.708775997
1.423430324,-7.727321625,-4.665705204
1.377966762,-7.775177956,-4.62502718
1.366002679,-7.777570724,-4.603491783
1.30139637,-7.806284904,-4.596313
1.279860973,-7.854141235,-4.663312435
1.28464663,-7.870891094,-4.742275238
1.291825175,-7.901997566,-4.833202839
1.308574915,-7.942675591,-4.914558411
1.327717423,-7.980960846,-4.945665359
1.344467282,-7.959425449,-5.036592484
1.354038477,-7.949853897,-5.125426292
1.361217022,-7.983353615,-5.20917511
1.373181105,-7.985746384,-5.233103275
1.377966762,-8.035995483,-5.240281582
1.416251898,-8.083851814,-5.14456892
1.45483613,-8.126922607,-5.108676434
1.452443361,-8.196314812,-5.11585474
1.490728498,-8.215457916,-5.10149765
1.50269258,-8.251648903,-5.163711071
1.526620865,-8.299505234,-5.228317261
1.545763373,-8.309076309,-5.333601475
1.615155339,-8.297112465,-5.422136307
1.629512191,-8.297112465,-5.424529076
1.622333765,-8.301898003,-5.455635548
1.581655741,-8.325826645,-5.388636589
1.531406522,-8.330612183,-5.379065514
1.428515077,-8.392825127,-5.328815937
1.375573874,-8.419146538,-5.278566837
1.296610713,-8.411968231,-5.111069202
1.208076358,-8.416753769,-5.003093243
1.148255825,-8.43589592,-4.876273632
1.074078321,-8.443074226,-4.828416824
1.04536438,-8.361719131,-4.773382187
0.985543847,-8.304290771,-4.747061253
0.892223716,-8.289934158,-4.72313261
0.856032312,-8.198707581,-4.730311394
0.824925602,-8.172386169,-4.775774956
0.722034216,-8.105387688,-4.81645298
0.647856712,-8.016853333,-4.945665359
0.678963423,-7.968996525,-5.022235394
0.681356251,-7.911569118,-5.290530682
0.609571576,-7.823034763,-5.149354458
0.583250523,-7.775177956,-5.127819061
0.616750062,-7.708178997,-5.32163763
0.614357233,-7.662416458,-5.4652071
0.561715126,-7.602595806,-5.577669621
0.57128638,-7.547560692,-5.702395439
0.607178748,-7.459026337,-5.762216091
0.614357233,-7.528418064,-5.860321522
0.585643351,-7.506882668,-5.97039175
0.600000262,-7.459026337,-5.94167757
0.631106973,-7.363313675,-5.987141132
0.662213683,-7.313064098,-6.09960413
0.76271224,-7.222136974,-6.180960178
0.791426063,-7.186244488,-6.200102806
0.853639484,-7.186244488,-6.133103371
0.829711258,-7.183851719,-6.157031536
0.856032312,-7.174280643,-6.159424782
0.892223716,-7.157530785,-6.19770956
0.920937598,-7.155138016,-6.195316792
0.942472994,-7.234101295,-6.068497181
0.906580687,-7.293921471,-5.999105453
0.760319412,-7.37288475,-5.893821239
0.705284476,-7.461419106,-5.716752529
0.755533755,-7.542775154,-5.580062389
0.784247637,-7.686344624,-5.391029358
0.724427044,-7.818248749,-5.204389095
0.664606512,-7.959425449,-5.065306664
0.645463884,-8.136494637,-4.89541626
0.559322298,-8.299505234,-4.780560493
0.449252456,-8.488538742,-4.632205486
0.31525439,-8.634500504,-4.61067009
0.245563418,-8.782855988,-4.565206528
0.142672047,-8.953044891,-4.543671131
0.011066805,-9.125328064,-4.555634975
-0.091824569,-9.285647392,-4.550849438
-0.122931264,-9.412766457,-4.608277321
-0.130109727,-9.5252285,-4.656133652
-0.163609251,-9.597013474,-4.703989983
-0.09421739,-9.618548393,-4.744668007
-0.089431748,-9.690333366,-4.794917583
-0.168394893,-9.788438797,-4.845166683
-0.151645139,-9.76211834,-4.818845749
-0.130109727,-9.678369522,-4.773382187
-0.223429814,-9.707083702,-4.80209589
-0.252143681,-9.65444088,-4.955236435
-0.331405938,-9.611370087,-5.050949574
-0.431904495,-9.585049629,-5.07248497
-0.570688188,-9.570692062,-5.221138954
-0.69511497,-9.556335449,-5.288137913
-0.817148924,-9.510871887,-5.422136307
-0.910768092,-9.515657425,-5.510670662
-0.970588684,-9.551549911,-5.429314613
-1.099801064,-9.58265686,-5.486742496
-1.090229869,-9.558728218,-5.381458282
-1.133300662,-9.597013474,-5.295316696
-1.193121195,-9.65444088,-5.338387489
-1.197906852,-9.707083702,-5.458028316
-1.260120273,-9.774082184,-5.654539108
-1.279262781,-9.855438232,-5.81485796
-1.303191066,-9.900901794,-5.994319916
-1.281655669,-10.00169945,-6.241079807
-1.260120273,-10.06869888,-6.410970211
-1.267298698,-10.17158985,-6.774978161
-1.284048438,-10.15962601,-6.870691299
-1.269691467,-10.15005493,-7.267899513
-1.205085278,-10.06630611,-7.734799385
-1.236191988,-9.982557297,-8.239983559
-1.126122117,-9.872187614,-8.510671616
-0.989731252,-9.771689415,-8.733204842
-0.898804009,-9.73340416,-8.970093727
-0.829412162,-9.707083702,-9.082855225
-0.79082787,-9.656833649,-9.073284149
-0.745364249,-9.594620705,-8.867202759
-0.757328391,-9.515657425,-8.587242126
-0.766899645,-9.436694145,-8.182556152
-0.831804991,-9.309576035,-7.761120319
-0.910768092,-9.134899139,-7.279863834
-0.965803027,-8.929117203,-6.779763699
-1.059123158,-8.69192791,-6.317649841
-1.140479088,-8.457431793,-5.817250729
-1.154836059,-8.17956543,-5.333601475
-1.238584876,-7.966603756,-4.828416824
-1.305583835,-7.76560688,-4.306482315
-1.339083314,-7.547560692,-3.748655796
-1.36061883,-7.399205685,-3.20518589
-1.348654628,-7.212565422,-2.707179785
-1.341476202,-7.109375,-2.283350945
-1.267298698,-7.016055107,-1.871785522
-1.150050402,-6.980162621,-1.426421404
-1.051944613,-7.001698017,-0.997807026
-0.846161902,-7.07348299,-0.610169768
-0.589830756,-7.224529743,-0.282053977
-0.336191595,-7.418348312,0.007776673
-0.079860456,-7.660023689,0.201595306
0.137886405,-8.012067795,0.237487644
0.408574462,-8.30668354,0.32362926
0.645463884,-8.634500504,0.230309174
0.832104087,-8.988937378,0.024526432
1.081256747,-9.331110954,-0.164805666
1.318146229,-9.659226418,-0.490229547
1.560120344,-9.961021423,-0.782453001
1.761117458,-10.24098206,-1.110269666
1.993520379,-10.45155048,-1.335494161
2.172981977,-10.7054882,-1.581954837
2.314158678,-10.84666538,-1.768894196
2.407478571,-11.02134132,-1.900499344
2.505584478,-11.1508522,-1.912463546
2.580060959,-11.23699379,-1.912463546
2.644667149,-11.29920769,-1.764108539
2.728415966,-11.29681492,-1.605883121
2.809772015,-11.27527905,-1.46470654
2.895913601,-11.22502995,-1.342672586
2.900699139,-11.16999531,-1.263709426
2.953341246,-11.07667542,-1.124626637
2.979662418,-10.95912743,-0.966700375
3.027518749,-10.74377346,-0.868594647
3.046661377,-10.5355978,-0.681954444
3.044268608,-10.33908749,-0.60777694
2.979662418,-10.13091183,-0.483051062
2.917448997,-9.865009308,-0.439980269
2.852842808,-9.647262573,-0.416052043
2.773879766,-9.39840889,-0.368195593
2.659024239,-9.233005524,-0.310767829
2.546262503,-9.03440094,-0.262911379
2.469691992,-8.854939461,-0.279661149
2.371586323,-8.696713448,-0.291625261
2.256730795,-8.579465866,-0.387338162
2.156232357,-8.510073662,-0.447158724
2.074876308,-8.400003433,-0.475872606
1.974078655,-8.318648338,-0.499800831
1.890329838,-8.268398285,-0.526121855
1.842473388,-8.203493118,-0.53330034
1.782652855,-8.181958199,-0.516550601
1.768295884,-8.117351532,-0.509372115
1.761117458,-8.124529839,-0.478265435
1.720439434,-8.129315376,-0.432801783
1.746760488,-8.119744301,-0.425623328
1.741974831,-8.067102432,-0.399302274
1.737189293,-8.07188797,-0.351445824
1.761117458,-8.126922607,-0.303589374
1.792224169,-8.177172661,-0.267697036
1.797009826,-8.263612747,-0.255732924
1.787438512,-8.344968796,-0.236590341
1.780260086,-8.421539307,-0.231804699
1.825723648,-8.455039024,-0.274875492
1.823330879,-8.462217331,-0.34187454
1.830509305,-8.531609535,-0.363409936
1.811366796,-8.603393555,-0.451944381
1.820937991,-8.732605934,-0.473479778
1.753939033,-8.890831947,-0.506979287
1.708475351,-9.051150322,-0.497408003
1.631905079,-9.201898575,-0.456730008
1.588834286,-9.335896492,-0.449551553
1.497906923,-9.491728783,-0.423230499
1.45483613,-9.640084267,-0.430408984
1.389930844,-9.805189133,-0.449551553
1.344467282,-9.944272041,-0.514157772
1.28464663,-10.09501934,-0.557228565
1.270289779,-10.21226788,-0.643669307
1.265504122,-10.22183895,-0.784845829
1.270289779,-10.26012421,-0.940379322
1.320538998,-10.22901726,-1.115055323
1.366002679,-10.18594646,-1.187139153
1.356431365,-10.20508957,-1.215852976
1.406680584,-10.07826996,-1.158126116
1.476371527,-9.970592499,-1.117448211
1.531406522,-9.845867157,-1.0863415
1.588834286,-9.738189697,-1.031306505
1.663011789,-9.613762856,-0.91166544
1.725225091,-9.494122505,-0.775274515
1.763510346,-9.42712307,-0.650847733
1.761117458,-9.352646828,-0.540478826
1.741974831,-9.288040161,-0.416052043
1.682154298,-9.173184395,-0.327517599
1.718046665,-9.151649475,-0.246161625
1.744367719,-9.094221115,-0.344267368
1.756331801,-9.082257271,-0.439980269
1.828116536,-9.065507889,-0.413659215
1.859223247,-8.957830429,-0.490229547
1.856830359,-8.917152405,-0.614955425
1.832902193,-8.840581894,-0.708275497
1.837687731,-8.816654205,-0.736989379
1.861616015,-8.787641525,-0.792024314
1.85443759,-8.763712883,-0.715453982
1.852044702,-8.711071014,-0.672383189
1.866401672,-8.677571297,-0.559621394
1.907079697,-8.634500504,-0.490229547
1.945364833,-8.605786324,-0.411266387
1.95015049,-8.617751122,-0.27726832
1.969292998,-8.593822479,-0.148055896
2.015055656,-8.598608017,-0.04755735
2.065304995,-8.64167881,0.136989102
2.137089729,-8.684749603,0.318843603
2.292623281,-8.553144455,0.16331014
2.366800785,-8.407182693,-0.248554453
2.304587364,-8.388039589,-0.744167864
2.13469696,-8.672785759,-0.839880765
2.03898406,-8.957830429,-0.954736233
2.084447622,-8.998508453,-0.930808008
2.180160522,-9.039186478,-0.75134629
2.254338026,-9.099007607,-0.573978305
2.311765671,-9.158827782,-0.447158724
2.335694075,-9.259325981,-0.411266387
2.318944216,-9.347860336,-0.416052043
2.261516571,-9.415159225,-0.466301322
2.232802629,-9.484550476,-0.492622376
2.206481695,-9.486943245,-0.557228565
2.182553291,-9.458230019,-0.578763962
2.196910381,-9.400801659,-0.583549619
2.208874464,-9.335896492,-0.605384111
2.235195398,-9.26171875,-0.614955425
2.244766712,-9.24018383,-0.674775958
2.271087885,-9.225827217,-0.765703261
2.290230274,-9.244969368,-0.851844847
2.302194595,-9.266505241,-0.91166544
2.29501605,-9.297611237,-0.971485972
2.323729992,-9.292825699,-1.021735311
2.345265388,-9.273683548,-1.012163997
2.352443695,-9.233005524,-0.923629522
2.340479612,-9.158827782,-0.880558729
2.35962224,-9.139685631,-0.835095108
2.381157637,-9.036793709,-0.815952539
2.381157637,-9.032008171,-0.765703261
2.397907495,-9.000901222,-0.693918586
2.393121719,-9.027222633,-0.622133911
2.352443695,-9.03440094,-0.559621394
2.292623281,-9.055936813,-0.495015174
2.251945257,-9.008079529,-0.423230499
2.26390934,-8.909974098,-0.396909446
2.232802629,-8.965008736,-0.363409936
2.196910381,-8.914759636,-0.29401809
2.206481695,-8.840581894,-0.22941187
2.216052771,-8.773283958,-0.179162592
2.244766712,-8.665607452,-0.203090817
2.237588167,-8.598608017,-0.188733891
2.239981174,-8.624929428,-0.203090817
2.251945257,-8.627322197,-0.236590341
2.239981174,-8.608179092,-0.279661149
2.244766712,-8.632107735,-0.255732924
2.206481695,-8.62014389,-0.305982202
2.163410664,-8.624929428,-0.317946315
2.108375788,-8.646464348,-0.317946315
2.10359025,-8.651249886,-0.349052995
2.060519457,-8.601000786,-0.327517599
2.036591291,-8.59142971,-0.313160658
2.005484581,-8.586644173,-0.279661149
1.95015049,-8.593822479,-0.267697036
1.904686809,-8.584251404,-0.195912361
1.866401672,-8.567501068,-0.195912361
1.811366796,-8.598608017,-0.236590341
1.777867198,-8.567501068,-0.22941187
1.763510346,-8.541180611,-0.236590341
1.775474429,-8.517251968,-0.219840586
1.756331801,-8.536395073,-0.301196545
1.725225091,-8.519644737,-0.310767829
1.739582062,-8.522037506,-0.339481711
1.730010748,-8.505288124,-0.377766877
1.737189293,-8.500502586,-0.384945333
1.741974831,-8.538787842,-0.380159706
1.753939033,-8.536395073,-0.365802765
1.787438512,-8.512466431,-0.34187454
