accx,accy,accz
6.5426636,-1.7181653,0.40632477
5.3751745,-1.6860352,0.32130188
4.90864,-1.391577,0.21181981
4.999457,-1.5223196,0.09434113
5.418653,-1.8486589,-0.06448064
5.9502997,-1.7657813,-0.61048317
6.1794825,-1.040568,-1.6065573
6.5622387,-0.81470853,-0.9816418
6.734516,-1.2497063,-0.74194396
7.7986712,-2.1828895,-1.998172
9.562881,-3.221772,-2.3027625
11.406198,-1.7714316,-3.1142817
13.578524,0.38061103,-5.3866286
13.91014,-1.0921582,-5.927201
12.376893,-3.1566687,-1.5744078
13.207911,-2.9478369,1.5551776
13.819102,2.1125,3.500227
12.572174,1.4258524,1.7510713
10.940075,-3.5126386,-1.8985924
9.237577,-1.2224411,-0.67023283
13.065351,-0.26506686,-0.14597927
15.739511,-0.1987379,-0.8178785
13.841215,-0.13179602,-1.2549735
10.698634,-0.71977365,-0.83549017
8.247737,-0.51885223,-0.11195287
6.7809443,-0.28895143,-0.2786372
6.157743,-0.11287224,-0.5007808
5.4016156,0.31973127,0.020982785
5.251126,0.3064674,-0.032043993
5.442624,0.39001545,-0.33213323
5.187718,-0.008169016,-0.43325472
5.2294726,-0.4630769,-0.875483
5.9836946,-0.050900728,-0.21769996
6.806802,0.002930503,1.0155916
7.36376,-0.63899326,-2.8529499
9.968719,-0.24472572,-4.149573
11.529718,-0.72569215,-2.1203911
12.868824,-2.6033785,-2.8605924
14.115352,-2.622053,-5.4284596
13.392666,-0.8228488,-2.5928342
12.469826,-1.417061,0.6818878
11.884846,-2.3493152,1.9684744
10.939711,-5.0651445,3.1396508
13.307097,-2.2396894,0.7758362
13.083374,2.1034784,0.30663976
13.021632,0.065103136,-0.2485277
14.876889,-2.8976736,-1.3984628
13.620183,-2.5051105,-1.7559074
10.673437,-1.9107646,-0.8537915
8.509041,-2.0411432,0.1237515
7.00236,-2.1279569,0.30986714
5.709577,-1.8157147,0.59811944
4.775628,-1.4909748,0.943191
4.509785,-1.4958781,0.6377291
4.904273,-1.6032915,0.10428185
5.3029265,-1.6742748,-0.39764816
5.67716,-1.3809564,-0.94382304
5.8151135,-1.3869611,-0.23253444
6.266938,-1.8530356,-0.75483435
7.8122225,-2.588448,-2.5631464
10.07392,-2.766586,-3.7567036
12.267478,-1.2034024,-3.184116
13.135883,-0.88721454,-4.6767855
13.588771,-1.9384989,-7.2680593
13.498221,-2.9081795,-4.163804
13.511228,-3.073686,0.027523743
12.520621,-0.9986119,4.4148984
12.114909,1.8317559,4.377319
11.196523,-2.3581834,0.019661184
9.475628,-2.5657032,-0.07613561
10.766236,-1.2201713,1.1381651
14.594805,-2.1879268,-0.19144037
14.167162,-0.7857291,-0.770253
11.805301,-0.48305413,-0.5104342
9.208321,-1.0684172,-0.14412136
7.920757,-0.988834,0.050785806
7.1281223,-0.36124673,-0.16746004
